Div,Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePoint,AwayPoint,HomeDiff,AwayDiff,HomeRank,AwayRank,HomeGF,HomeGA,AwayGF,AwayGA
I1,29/09/2024,2024-2025,Empoli,Fiorentina,0.0,0.0,D,0.0,0.0,D,8.0,13.0,1.0,0.0,15.0,12.0,2.0,4.0,0.0,1.0,0.0,0.0,9,6,3,0,9,13,5,2,7,7
I1,29/09/2024,2024-2025,Napoli,Monza,2.0,0.0,H,2.0,0.0,H,11.0,5.0,2.0,1.0,16.0,8.0,1.0,3.0,1.0,2.0,0.0,0.0,10,3,5,-2,5,19,9,4,4,6
I1,30/09/2024,2024-2025,Parma,Cagliari,2.0,3.0,A,0.0,1.0,A,18.0,11.0,4.0,4.0,10.0,16.0,5.0,3.0,3.0,2.0,0.0,0.0,5,2,-1,-7,15,20,8,9,1,8
I1,04/10/2024,2024-2025,Napoli,Como,3.0,1.0,H,1.0,1.0,D,9.0,11.0,6.0,2.0,7.0,10.0,4.0,1.0,1.0,1.0,0.0,0.0,13,8,7,-2,1,10,11,4,9,11
I1,04/10/2024,2024-2025,Verona,Venezia,2.0,1.0,H,1.0,1.0,D,13.0,11.0,4.0,2.0,10.0,7.0,13.0,6.0,3.0,0.0,0.0,0.0,6,4,-1,-6,14,19,10,11,4,10
I1,05/10/2024,2024-2025,Udinese,Lecce,1.0,0.0,H,0.0,0.0,D,13.0,9.0,4.0,3.0,12.0,16.0,5.0,0.0,2.0,2.0,0.0,0.0,10,5,-1,-8,8,18,9,10,3,11
I1,05/10/2024,2024-2025,Atalanta,Genoa,5.0,1.0,H,1.0,0.0,H,23.0,7.0,8.0,2.0,9.0,15.0,4.0,2.0,0.0,0.0,0.0,0.0,7,5,-1,-6,13,17,11,12,4,10
I1,05/10/2024,2024-2025,Inter,Torino,3.0,2.0,H,2.0,1.0,H,29.0,7.0,8.0,5.0,6.0,9.0,14.0,0.0,1.0,2.0,0.0,1.0,11,11,6,2,5,6,13,7,10,8
I1,06/10/2024,2024-2025,Juventus,Cagliari,1.0,1.0,D,1.0,0.0,H,21.0,9.0,9.0,2.0,13.0,10.0,8.0,3.0,5.0,2.0,1.0,0.0,12,5,9,-6,4,16,9,0,4,10
I1,06/10/2024,2024-2025,Bologna,Parma,0.0,0.0,D,0.0,0.0,D,19.0,13.0,3.0,2.0,15.0,16.0,13.0,6.0,1.0,0.0,0.0,1.0,7,5,-2,-2,14,16,7,9,10,12
